market,league_code,season,close_odds_band,asian_handicap_line_bucket,over25_price_band,home_away_side,sample_size_bucket,sample_count,settled_count,hit_count,hit_rate,avg_close_odds,roi_proxy_flat_1u,max_fail_streak,max_drawdown_proxy,price_missing_count,settlement_uncertain_count,confidence_flag,risk_flags
1X2,D1,2020/21,2_50_3_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,61,61,21,0.344262,2.898033,0.005738,11,-17.05,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,2_50_3_49,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,48,48,16,0.333333,3.309375,0.104167,7,-7.45,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,2_50_3_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,61,61,18,0.295082,2.919016,-0.146066,6,-13.2,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,3_50_4_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,57,57,12,0.210526,3.988246,-0.170526,9,-12.72,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,3_50_4_99,NOT_AH,NOT_FT_OVER25,DRAW,100_299,207,207,58,0.280193,3.942802,0.079903,17,-36.19,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE_RESEARCH_ONLY|HIGH_DRAWDOWN_RISK
1X2,D1,2020/21,3_50_4_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,37,37,11,0.297297,4.025405,0.231892,9,-9.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,GE_5_00,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,70,70,5,0.071429,8.653571,-0.478571,16,-35.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,GE_5_00,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,51,51,7,0.137255,6.642157,-0.04902,11,-11.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,GE_5_00,NOT_AH,NOT_FT_OVER25,HOME,LT_100,37,37,7,0.189189,8.087838,0.554054,13,-16.5,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,LT_1_50,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,24,24,16,0.666667,1.299583,-0.136667,3,-3.68,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,LT_1_50,NOT_AH,NOT_FT_OVER25,HOME,LT_100,42,42,31,0.738095,1.283571,-0.06119,3,-6.57,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,1_50_1_74,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,19,19,12,0.631579,1.621579,0.007895,2,-2.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,1_50_1_74,NOT_AH,NOT_FT_OVER25,HOME,LT_100,34,34,25,0.735294,1.602647,0.172647,2,-2.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,1_75_1_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,14,14,4,0.285714,1.875,-0.467857,5,-6.55,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,1_75_1_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,38,38,13,0.342105,1.868684,-0.368421,6,-14.75,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,2_00_2_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,54,54,22,0.407407,2.194815,-0.098148,6,-12.16,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,2_00_2_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,51,51,17,0.333333,2.188824,-0.26,8,-20.23,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,2_50_3_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,60,60,19,0.316667,2.951833,-0.032667,8,-8.43,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,2_50_3_49,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,58,58,17,0.293103,3.332759,-0.017241,11,-11.75,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2021/22,2_50_3_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,66,66,28,0.424242,2.942273,0.208485,5,-5.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
